metric_group,key,count_or_value,cost_usd
domain_privacy,chat|confidential,1076,
domain_privacy,chat|internal,206,
domain_privacy,chat|public,961,
domain_privacy,code|confidential,208,
domain_privacy,code|internal,710,
domain_privacy,creative|confidential,60,
domain_privacy,creative|internal,67,
domain_privacy,reasoning|internal,505,
domain_privacy,reasoning|public,119,
domain_privacy,summarization|confidential,88,
tier_decided,encoder,4000,
model_routed,claude-haiku-4-5,415,0.3212
model_routed,claude-sonnet-4-6,646,1.8760
model_routed,deepseek-v4,1507,0.4084
model_routed,llama3.1-8b-local,1432,0.0000
user_role,analyst,616,
user_role,engineer,3061,
user_role,exec,155,
user_role,ops,168,
confidential_flag_rate,count,1432,
confidential_flag_rate,pct,35.8,
cost_summary,tidus_total_usd,2.6056,
cost_summary,premium_baseline_total_usd,88.8000,
cost_summary,savings_pct_vs_premium,97.07,
